Airport__Name,Aircraft__Make_Model,Effect__Amount_of_damage,Flight_Date,Aircraft__Airline_Operator,Origin_State,When__Phase_of_flight,Wildlife__Size,Wildlife__Species,When__Time_of_day,Cost__Other,Cost__Repair,Cost__Total_$,Number_of_Strikes,Speed_IAS_in_knots
BARKSDALE AIR FORCE BASE ARPT,T-38A,None,1/8/90 0:00,MILITARY,Louisiana,Climb,Large,Turkey vulture,Day,0,0,0,1,300
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1/9/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,1,200
BARKSDALE AIR FORCE BASE ARPT,B-52,None,1/11/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,1,130
NEW ORLEANS INTL,B-737-300,Substantial,1/11/90 0:00,SOUTHWEST AIRLINES,Louisiana,Take-off run,Small,Rock pigeon,Day,0,0,0,1,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1/12/90 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,1,160
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,2/2/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,1,180
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,2/6/90 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Dusk,0,0,0,1,140
WASHINGTON DULLES INTL ARPT,B-727,None,2/22/90 0:00,FEDEX EXPRESS,DC,Approach,Large,Unknown bird - large,Night,0,0,0,1,190
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,3/1/90 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,1,180
BARKSDALE AIR FORCE BASE ARPT,B-52,None,3/2/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,1,130
WASHINGTON DULLES INTL ARPT,BA-146,Medium,3/3/90 0:00,AIR WISCONSIN AIRLINES,DC,Climb,Large,Unknown bird - large,Day,0,0,0,1,180
BARKSDALE AIR FORCE BASE ARPT,B-52,None,3/8/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,1,150
RONALD REAGAN WASHINGTON NATL,C-141B,None,3/9/90 0:00,MILITARY,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,200
CHARLESTON AFB/INTL ARPT,C-141B,None,3/9/90 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,1,190
BARKSDALE AIR FORCE BASE ARPT,B-52,None,3/9/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,1,150
BARKSDALE AIR FORCE BASE ARPT,A-10A,None,3/13/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,4175,4175,1,250
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,3/19/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,1,150
LAMBERT-ST LOUIS INTL,SA227 AC METRO III,Minor,3/22/90 0:00,TRANS STATES AIRLINES,Missouri,Climb,Small,European starling,Day,0,0,0,1,160
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/4/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,1,135
LAGUARDIA NY,B-737-400,Substantial,4/7/90 0:00,US AIRWAYS*,New York,Take-off run,Large,Canada goose,Day,0,0,0,1,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/7/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,1,120
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/9/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,1,210
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/15/90 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,1,180
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/16/90 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Dawn,0,0,0,1,150
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/18/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,1,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/19/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,1,180
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,4/19/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,1,140
NEW ORLEANS INTL,B-727,None,4/19/90 0:00,AMERICAN AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,1,235
CHARLOTTE/DOUGLAS INTL ARPT,BE-58  BARON,None,4/20/90 0:00,UNKNOWN,North Carolina,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,105
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/23/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dawn,0,0,0,1,190
CHARLESTON AFB/INTL ARPT,C-141B,None,4/23/90 0:00,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,1,160
CHARLESTON AFB/INTL ARPT,C-141B,None,4/24/90 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,1,200
BARKSDALE AIR FORCE BASE ARPT,B-52,None,4/25/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,1,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/25/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,1,170
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,4/26/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,1,180
LOS ANGELES INTL,B-737-300,None,4/27/90 0:00,US AIRWAYS*,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,230
CHICAGO O'HARE INTL ARPT,B-727,None,4/27/90 0:00,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,
PORTLAND INTL (OR),B-727,None,4/28/90 0:00,AMERICAN AIRLINES,Oregon,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,127
WASHINGTON DULLES INTL ARPT,B-727,Medium,4/29/90 0:00,AMERICAN AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,250
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-400,Substantial,4/30/90 0:00,US AIRWAYS*,Florida,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,140
CHICAGO O'HARE INTL ARPT,B-727,None,5/1/90 0:00,UNITED AIRLINES,Illinois,Climb,Large,White-tailed deer,Night,0,0,0,1,120
HOUSTON-HOBBY,B-737-500,None,5/1/90 0:00,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,124
CHICAGO O'HARE INTL ARPT,B-767-200,None,5/2/90 0:00,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,130
SAN ANTONIO INTL,B-737-200,None,5/3/90 0:00,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,1,320
SACRAMENTO INTL,MD-80,None,5/5/90 0:00,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,260
WILL ROGERS WORLD ARPT,B-727-200,None,5/5/90 0:00,AMERICAN AIRLINES,Oklahoma,Approach,Small,Unknown bird - small,Day,0,0,0,1,150
ATLANTA INTL,B-767,None,5/5/90 0:00,DELTA AIR LINES,Georgia,Approach,Small,Unknown bird - small,Night,0,0,0,1,180
INDIANAPOLIS INTL,BE-90  KING,Minor,5/7/90 0:00,BUSINESS,Indiana,Descent,Medium,Unknown bird - medium,Day,0,0,0,1,160
DALLAS/FORT WORTH INTL ARPT,MD-80,None,5/7/90 0:00,AMERICAN AIRLINES,Texas,Descent,Medium,Unknown bird - medium,Day,0,0,0,1,240
KANSAS CITY INTL,E-4B,None,5/8/90 0:00,MILITARY,Missouri,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,180
MINETA SAN JOSE INTL,MD-80,None,5/8/90 0:00,AMERICAN AIRLINES,California,Take-off run,Small,American robin,Day,0,0,0,1,135
METRO OAKLAND INTL,MD-82,None,5/10/90 0:00,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,135
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,5/10/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,1,220
CHICAGO O'HARE INTL ARPT,MD-82,None,5/11/90 0:00,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,250
NASHVILLE INTL,B-727,None,5/13/90 0:00,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,5/13/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,160
NASHVILLE INTL,MD-80,None,5/13/90 0:00,AMERICAN AIRLINES,Tennessee,Climb,Small,European starling,Day,0,0,0,1,160
MINNEAPOLIS-ST PAUL INTL,DC-9,None,5/13/90 0:00,AMERICAN AIRLINES,Minnesota,Landing Roll,Small,American robin,Day,0,0,0,1,100
PORTLAND INTL (OR),MD-80,None,5/14/90 0:00,AMERICAN AIRLINES,Oregon,Descent,Medium,Unknown bird - medium,Night,0,0,0,1,200
LAMBERT-ST LOUIS INTL,MD-80,None,5/14/90 0:00,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,1,140
CHICAGO O'HARE INTL ARPT,KC-135E,None,5/15/90 0:00,MILITARY,Illinois,Take-off run,Large,Coyote,Day,0,0,0,1,150
CHICAGO O'HARE INTL ARPT,C-130,None,5/15/90 0:00,MILITARY,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,120
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,5/15/90 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Medium,American crow,Day,0,0,0,1,135
SALT LAKE CITY INTL,KC-135E,None,5/15/90 0:00,MILITARY,Utah,Landing Roll,Small,Common nighthawk,Day,0,0,0,1,150
HONOLULU INTL ARPT,B-737,None,5/16/90 0:00,ALOHA AIRLINES,Hawaii,Landing Roll,Large,Unknown bird - large,Day,0,0,0,1,70
AUSTIN-BERGSTROM INTL,B-737-200,None,5/16/90 0:00,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
DALLAS/FORT WORTH INTL ARPT,B-727,None,5/18/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,American robin,Night,0,0,0,1,122
LAMBERT-ST LOUIS INTL,MD-80,None,5/19/90 0:00,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,1,140
RONALD REAGAN WASHINGTON NATL,B-757-200,None,5/20/90 0:00,AMERICAN AIRLINES,DC,Approach,Small,Unknown bird - small,Night,0,0,0,1,120
