Area Code,Date,Market Size,Market,Product Line,Product Type,Product,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Marketing,Number of Records,Profit,Sales,Total Expenses
719,1/1/12,Major Market,Central,Beans,Coffee,Amaretto,Colorado,Regular,$90 ,$130 ,$100 ,$220 ,$89 ,777,$130 ,$24 ,1,$94 ,$219 ,$36 
970,1/1/12,Major Market,Central,Beans,Coffee,Colombian,Colorado,Regular,$80 ,$110 ,$80 ,$190 ,$83 ,623,$107 ,$27 ,1,$68 ,$190 ,$39 
970,1/1/12,Major Market,Central,Beans,Coffee,Decaf Irish Cream,Colorado,Decaf,$100 ,$140 ,$110 ,$240 ,$95 ,821,$139 ,$26 ,1,$101 ,$234 ,$38 
303,1/1/12,Major Market,Central,Leaves,Tea,Green Tea,Colorado,Regular,$30 ,$50 ,$30 ,$80 ,$44 ,623,$56 ,$14 ,1,$30 ,$100 ,$26 
303,1/1/12,Major Market,Central,Beans,Espresso,Caffe Mocha,Colorado,Regular,$60 ,$90 ,$70 ,$150 ,$54 ,456,$80 ,$15 ,1,$54 ,$134 ,$26 
720,1/1/12,Major Market,Central,Beans,Espresso,Decaf Espresso,Colorado,Decaf,$80 ,$130 ,$80 ,$210 ,$72 ,558,$108 ,$23 ,1,$53 ,$180 ,$55 
970,1/1/12,Major Market,Central,Leaves,Herbal Tea,Chamomile,Colorado,Decaf,$140 ,$160 ,$110 ,$300 ,$170 ,"1,091",$171 ,$47 ,1,$99 ,$341 ,$72 
719,1/1/12,Major Market,Central,Leaves,Herbal Tea,Lemon,Colorado,Decaf,$50 ,$80 ,$20 ,$130 ,$63 ,435,$87 ,$57 ,1,$0 ,$150 ,$87 
970,1/1/12,Major Market,Central,Leaves,Herbal Tea,Mint,Colorado,Decaf,$50 ,$70 ,$40 ,$120 ,$60 ,336,$80 ,$19 ,1,$33 ,$140 ,$47 
719,1/1/12,Major Market,Central,Leaves,Tea,Darjeeling,Colorado,Regular,$40 ,$70 ,$20 ,$110 ,$58 ,338,$72 ,$22 ,1,$17 ,$130 ,$55 
303,1/1/12,Major Market,Central,Leaves,Tea,Earl Grey,Colorado,Regular,$50 ,$70 ,$40 ,$120 ,$64 ,965,$76 ,$19 ,1,$36 ,$140 ,$40 
217,1/1/12,Major Market,Central,Beans,Coffee,Colombian,Illinois,Regular,$150 ,$210 ,$130 ,$360 ,$144 ,862,$201 ,$47 ,1,$111 ,$345 ,$90 
309,1/1/12,Major Market,Central,Beans,Coffee,Decaf Irish Cream,Illinois,Decaf,$100 ,$140 ,$100 ,$240 ,$95 ,608,$139 ,$30 ,1,$87 ,$234 ,$52 
309,1/1/12,Major Market,Central,Beans,Espresso,Caffe Mocha,Illinois,Regular,$270 ,$370 ,$260 ,$640 ,$234 ,"1,310",$312 ,$77 ,1,$203 ,$546 ,$109 
630,1/1/12,Major Market,Central,Beans,Espresso,Decaf Espresso,Illinois,Decaf,$260 ,$270 ,$180 ,$530 ,$228 ,"1,459",$228 ,$63 ,1,$140 ,$456 ,$88 
312,1/1/12,Major Market,Central,Leaves,Herbal Tea,Chamomile,Illinois,Decaf,$70 ,$120 ,$100 ,$190 ,$89 ,777,$130 ,$24 ,1,$95 ,$219 ,$35 
630,1/1/12,Major Market,Central,Leaves,Herbal Tea,Lemon,Illinois,Decaf,$70 ,$90 ,$60 ,$160 ,$83 ,623,$107 ,$27 ,1,$68 ,$190 ,$39 
773,1/1/12,Major Market,Central,Leaves,Herbal Tea,Mint,Illinois,Decaf,$80 ,$120 ,$100 ,$200 ,$95 ,821,$139 ,$26 ,1,$101 ,$234 ,$38 
217,1/1/12,Major Market,Central,Leaves,Tea,Darjeeling,Illinois,Regular,$40 ,$70 ,$50 ,$110 ,$54 ,456,$80 ,$15 ,1,$53 ,$134 ,$27 
708,1/1/12,Major Market,Central,Leaves,Tea,Earl Grey,Illinois,Regular,$60 ,$90 ,$40 ,$150 ,$72 ,558,$108 ,$23 ,1,$54 ,$180 ,$54 
319,1/1/12,Small Market,Central,Beans,Coffee,Amaretto,Iowa,Regular,$10 ,$30 ,$20 ,$40 ,$18 ,821,$27 ,$5 ,1,$11 ,$45 ,$16 
641,1/1/12,Small Market,Central,Beans,Coffee,Colombian,Iowa,Regular,$20 ,$40 ,$20 ,$60 ,$28 ,965,$34 ,$8 ,1,$5 ,$62 ,$29 
712,1/1/12,Small Market,Central,Beans,Coffee,Decaf Irish Cream,Iowa,Decaf,$20 ,$30 ,$20 ,$50 ,$23 ,623,$31 ,$7 ,1,$12 ,$54 ,$19 
563,1/1/12,Small Market,Central,Beans,Espresso,Caffe Mocha,Iowa,Regular,$10 ,$40 ,$30 ,$50 ,$17 ,777,$26 ,$4 ,1,$11 ,$43 ,$15 
563,1/1/12,Small Market,Central,Beans,Espresso,Decaf Espresso,Iowa,Decaf,$10 ,$40 ,$30 ,$50 ,$17 ,777,$26 ,$4 ,1,$10 ,$43 ,$16 
641,1/1/12,Small Market,Central,Leaves,Herbal Tea,Chamomile,Iowa,Decaf,$200 ,$280 ,$200 ,$480 ,$234 ,"1,310",$312 ,$77 ,1,$202 ,$546 ,$110 
563,1/1/12,Small Market,Central,Leaves,Herbal Tea,Lemon,Iowa,Decaf,$80 ,$120 ,$90 ,$200 ,$95 ,608,$139 ,$30 ,1,$86 ,$234 ,$53 
712,1/1/12,Small Market,Central,Leaves,Tea,Darjeeling,Iowa,Regular,$190 ,$210 ,$140 ,$400 ,$228 ,"1,459",$228 ,$63 ,1,$141 ,$456 ,$87 
319,1/1/12,Small Market,Central,Leaves,Tea,Earl Grey,Iowa,Regular,$210 ,$270 ,$160 ,$480 ,$245 ,"1,419",$301 ,$93 ,1,$175 ,$546 ,$126 
636,1/1/12,Small Market,Central,Beans,Coffee,Colombian,Missouri,Regular,$90 ,$100 ,$40 ,$190 ,$85 ,494,$105 ,$32 ,1,$39 ,$190 ,$66 
573,1/1/12,Small Market,Central,Beans,Coffee,Decaf Irish Cream,Missouri,Decaf,$80 ,$90 ,$50 ,$170 ,$78 ,965,$92 ,$24 ,1,$47 ,$170 ,$45 
417,1/1/12,Small Market,Central,Leaves,Tea,Green Tea,Missouri,Regular,$20 ,$40 ,$0 ,$60 ,$34 ,197,$42 ,$12 ,1,($4),$76 ,$46 
573,1/1/12,Small Market,Central,Beans,Espresso,Caffe Mocha,Missouri,Regular,$50 ,$90 ,$70 ,$140 ,$50 ,821,$73 ,$14 ,1,$48 ,$123 ,$25 
660,1/1/12,Small Market,Central,Beans,Espresso,Decaf Espresso,Missouri,Decaf,$50 ,$80 ,$60 ,$130 ,$46 ,777,$68 ,$12 ,1,$45 ,$114 ,$23 
573,1/1/12,Small Market,Central,Leaves,Herbal Tea,Chamomile,Missouri,Decaf,$30 ,$40 ,$0 ,$70 ,$37 ,261,$53 ,$34 ,1,($11),$90 ,$64 
314,1/1/12,Small Market,Central,Leaves,Herbal Tea,Lemon,Missouri,Decaf,$70 ,$10 ,($20),$80 ,$88 ,525,$11 ,$27 ,1,($39),$99 ,$50 
314,1/1/12,Small Market,Central,Leaves,Tea,Darjeeling,Missouri,Regular,$30 ,$40 ,$10 ,$70 ,$35 ,196,$47 ,$11 ,1,$9 ,$82 ,$38 
573,1/1/12,Small Market,Central,Leaves,Tea,Earl Grey,Missouri,Regular,$20 ,$30 ,($10),$50 ,$29 ,169,$36 ,$11 ,1,($9),$65 ,$45 
740,1/1/12,Major Market,Central,Beans,Coffee,Amaretto,Ohio,Regular,$60 ,$80 ,$50 ,$140 ,$60 ,336,$80 ,$19 ,1,$34 ,$140 ,$46 
614,1/1/12,Major Market,Central,Beans,Coffee,Colombian,Ohio,Regular,$60 ,$80 ,$50 ,$140 ,$57 ,364,$83 ,$18 ,1,$42 ,$140 ,$41 
614,1/1/12,Major Market,Central,Beans,Coffee,Decaf Irish Cream,Ohio,Decaf,$60 ,$90 ,$20 ,$150 ,$63 ,435,$87 ,$57 ,1,$0 ,$150 ,$87 
216,1/1/12,Major Market,Central,Leaves,Tea,Earl Grey,Ohio,Regular,$70 ,$100 ,$60 ,$170 ,$84 ,500,$116 ,$26 ,1,$67 ,$200 ,$49 
614,1/1/12,Major Market,Central,Beans,Espresso,Decaf Espresso,Ohio,Decaf,$60 ,$90 ,$40 ,$150 ,$58 ,338,$72 ,$22 ,1,$16 ,$130 ,$56 
614,1/1/12,Major Market,Central,Beans,Espresso,Caffe Mocha,Ohio,Regular,$190 ,$210 ,$140 ,$400 ,$170 ,"1,091",$171 ,$47 ,1,$99 ,$341 ,$72 
937,1/1/12,Major Market,Central,Leaves,Herbal Tea,Chamomile,Ohio,Decaf,$20 ,$50 ,$50 ,$70 ,$32 ,456,$48 ,$8 ,1,$29 ,$80 ,$19 
740,1/1/12,Major Market,Central,Leaves,Herbal Tea,Lemon,Ohio,Decaf,$20 ,$50 ,$50 ,$70 ,$32 ,821,$48 ,$8 ,1,$29 ,$80 ,$19 
567,1/1/12,Major Market,Central,Leaves,Tea,Darjeeling,Ohio,Regular,$70 ,$110 ,$60 ,$180 ,$84 ,651,$126 ,$27 ,1,$68 ,$210 ,$58 
262,1/1/12,Small Market,Central,Beans,Coffee,Amaretto,Wisconsin,Regular,$50 ,$70 ,$30 ,$120 ,$54 ,312,$66 ,$20 ,1,$13 ,$120 ,$53 
262,1/1/12,Small Market,Central,Beans,Coffee,Colombian,Wisconsin,Regular,$80 ,$110 ,$20 ,$190 ,$79 ,551,$111 ,$72 ,1,$9 ,$190 ,$102 
414,1/1/12,Small Market,Central,Beans,Coffee,Decaf Irish Cream,Wisconsin,Decaf,$80 ,$100 ,$60 ,$180 ,$77 ,432,$103 ,$25 ,1,$51 ,$180 ,$52 
262,1/1/12,Small Market,Central,Leaves,Tea,Earl Grey,Wisconsin,Regular,$60 ,$90 ,$10 ,$150 ,$75 ,522,$105 ,$68 ,1,$7 ,$180 ,$98 
262,1/1/12,Small Market,Central,Beans,Espresso,Decaf Espresso,Wisconsin,Decaf,$50 ,$70 ,$50 ,$120 ,$48 ,623,$62 ,$15 ,1,$34 ,$110 ,$28 
414,1/1/12,Small Market,Central,Beans,Espresso,Caffe Mocha,Wisconsin,Regular,$80 ,$90 ,$50 ,$170 ,$69 ,965,$81 ,$21 ,1,$38 ,$150 ,$43 
715,1/1/12,Small Market,Central,Leaves,Herbal Tea,Chamomile,Wisconsin,Decaf,$50 ,$100 ,$80 ,$150 ,$67 ,400,$113 ,$20 ,1,$70 ,$180 ,$43 
715,1/1/12,Small Market,Central,Leaves,Herbal Tea,Lemon,Wisconsin,Decaf,$20 ,$50 ,$50 ,$70 ,$33 ,777,$48 ,$9 ,1,$28 ,$81 ,$20 
608,1/1/12,Small Market,Central,Leaves,Tea,Darjeeling,Wisconsin,Regular,$50 ,$80 ,$50 ,$130 ,$61 ,390,$89 ,$19 ,1,$47 ,$150 ,$42 
475,1/1/12,Small Market,East,Leaves,Tea,Darjeeling,Connecticut,Regular,$50 ,$80 ,$60 ,$130 ,$50 ,821,$73 ,$14 ,1,$47 ,$123 ,$26 
475,1/1/12,Small Market,East,Leaves,Tea,Green Tea,Connecticut,Regular,$40 ,$60 ,$40 ,$100 ,$38 ,777,$56 ,$10 ,1,$35 ,$94 ,$21 
475,1/1/12,Small Market,East,Beans,Espresso,Decaf Espresso,Connecticut,Decaf,$50 ,$70 ,$40 ,$120 ,$55 ,312,$75 ,$18 ,1,$30 ,$130 ,$45 
860,1/1/12,Small Market,East,Beans,Espresso,Caffe Mocha,Connecticut,Regular,$70 ,$100 ,$20 ,$170 ,$75 ,522,$105 ,$68 ,1,$7 ,$180 ,$98 
475,1/1/12,Small Market,East,Beans,Coffee,Colombian,Connecticut,Regular,$110 ,$180 ,$130 ,$290 ,$124 ,961,$186 ,$40 ,1,$115 ,$310 ,$71 
860,1/1/12,Small Market,East,Leaves,Herbal Tea,Lemon,Connecticut,Decaf,$60 ,$80 ,$40 ,$140 ,$85 ,494,$105 ,$32 ,1,$40 ,$190 ,$65 
475,1/1/12,Small Market,East,Leaves,Herbal Tea,Mint,Connecticut,Decaf,$50 ,$80 ,$50 ,$130 ,$78 ,965,$92 ,$24 ,1,$47 ,$170 ,$45 
954,1/1/12,Major Market,East,Leaves,Tea,Darjeeling,Florida,Regular,$30 ,$50 ,$40 ,$80 ,$32 ,821,$48 ,$8 ,1,$28 ,$80 ,$20 
754,1/1/12,Major Market,East,Leaves,Tea,Green Tea,Florida,Regular,$30 ,$50 ,$40 ,$80 ,$33 ,777,$48 ,$9 ,1,$28 ,$81 ,$20 
754,1/1/12,Major Market,East,Beans,Espresso,Decaf Espresso,Florida,Decaf,$70 ,$100 ,$60 ,$170 ,$77 ,432,$103 ,$25 ,1,$50 ,$180 ,$53 
239,1/1/12,Major Market,East,Beans,Espresso,Caffe Mocha,Florida,Regular,$70 ,$110 ,$30 ,$180 ,$79 ,551,$111 ,$72 ,1,$9 ,$190 ,$102 
