Creative Type	Director	Distributor	IMDB Rating	IMDB Votes	MPAA Rating	Major Genre	Production Budget	Release Location	Release Date	Rotten Tomatoes Rating	Running Time (min)	Source	Title	US DVD Sales	US Gross	Worldwide Gross
		Gramercy	6.1	1071	R		8000000	United States	12-Jun-98	0	0		The Land Girls	0	146083	146083
		Strand	6.9	207	R	Drama	300000		7-Aug-98	0	0		First Love, Last Rites	0	10876	10876
		Lionsgate	6.8	865		Comedy	250000		28-Aug-98	0	0		I Married a Strange Person	0	203134	203134
		Fine Line	0	0		Comedy	300000		11-Sep-98	13	0		Let's Talk About Sex	0	373615	373615
Contemporary Fiction		Trimark	3.4	165	R	Drama	1000000	United States	9-Oct-98	62	0	Original Screenplay	Slam	0	1009819	1087521
		MGM	0	0			1600000		15-Jan-99	0	0		Mississippi Mermaid	0	24551	2624551
	Christopher Nolan	Zeitgeist	7.7	15133	R		6000		4-Apr-99	0	0		Following	0	44705	44705
Contemporary Fiction		Artisan	3.8	353	R	Comedy	1600000	United States	9-Apr-99	0	0	Original Screenplay	Foolish	0	6026908	6026908
	Roman Polanski		5.8	3275	R		40000000	France	1-Jul-86	25	0		Pirates	0	1641825	6341825
			7	2906			6000000	United States	31-Dec-46	86	0		Duel in the Sun	0	20400000	20400000
			7	4035			1000000	Italy	7-Oct-63	81	0		Tom Jones	0	37600000	37600000
		Sony Pictures	7.5	9111		Musical	10000000		11-Dec-68	84	0		Oliver!	0	37402877	37402877
		Universal	8.4	82786			2000000		25-Dec-62	97	0		To Kill A Mockingbird	0	13129846	13129846
	Richard Fleischer		0	0			25000000		23-Sep-70	0	0		Tora, Tora, Tora	0	29548291	29548291
			6.8	1532			100000	United States	1-Mar-87	87	0		Hollywood Shuffle	0	5228617	5228617
			0	0			100000		17-Sep-20	0	0		Over the Hill to the Poorhouse	0	3000000	3000000
			7	451			5200000	United States	1-Aug-44	0	0		Wilson	0	2000000	2000000
	Blake Edwards		6.1	858			22000000	West Germany	1-Jan-70	0	0		Darling Lili	0	5000000	5000000
			2.5	1677			13500000	United States	5-Oct-56	90	0		The Ten Commandments	0	80000000	80000000
	Sidney Lumet	United Artists	8.9	119101		Drama	340000	United States	13-Apr-57	0	0	Original Screenplay	12 Angry Men	0	0	0
Science Fiction	Terry Gilliam	Universal	8.1	169858	R	Drama	29000000	United States	27-Dec-95	0	0	Based on Short Film	Twelve Monkeys	0	57141459	168841459
Historical Fiction		Sony/Columbia	7	4099	PG	Drama	4000000	United States	9-Nov-72	57	0	Based on Play	1776	0	0	0
Historical Fiction	Steven Spielberg	Universal	5.6	13364		Comedy	32000000	United States	14-Dec-79	33	0	Original Screenplay	1941	0	34175000	94875000
		Strand	6.3	365	Not Rated	Thriller/Suspense	1900000		29-Jun-07	0	0	Original Screenplay	Chacun sa nuit	0	18435	18435
Science Fiction	Stanley Kubrick		8.4	160342			10500000	United States	2-Apr-68	96	0	Original Screenplay	2001: A Space Odyssey	0	56700000	68700000
	Richard Fleischer	Walt Disney Pictures	0	0		Adventure	5000000		23-Dec-54	92	0	Based on Book/Short Story	20,000 Leagues Under the Sea	0	28200000	28200000
			0	0		Adventure	200000		24-Dec-16	0	0	Based on Book/Short Story	20,000 Leagues Under the Sea	0	8000000	8000000
	Shane Meadows	October Films	6.9	1417	R	Comedy	2000000		15-Apr-98	0	0	Original Screenplay	24 7: Twenty Four Seven	0	72544	72544
Contemporary Fiction	Michael Polish	Sony Pictures Classics	7.1	2810	R	Drama	500000	New Zealand	30-Jul-99	77	0	Original Screenplay	Twin Falls Idaho	0	985341	1027228
Historical Fiction			0	0	R	Action	20000000		3-Apr-08	0	0	Based on Book/Short Story	Three Kingdoms: Resurrection of the Dragon	0	0	22139590
Contemporary Fiction	Leonard Nimoy	Walt Disney Pictures	5.7	16764		Comedy	15000000	United States	25-Nov-87	0	0	Remake	3 Men and a Baby	0	167780960	167780960
Contemporary Fiction		Walt Disney Pictures	3.2	3107	PG	Action	20000000	United States	6-May-94	17	0	Original Screenplay	3 Ninjas Kick Back	0	11744960	11744960
		Vitagraph Films	6	873	R	Drama	1500000	United States	28-Sep-05	0	0	Original Screenplay	Forty Shades of Blue	0	75828	172569
		Warner Bros.	7.7	4263		Musical	439000	United States	9-Mar-33	95	0	Based on Book/Short Story	42nd Street	0	2300000	2300000
Contemporary Fiction	Robert Rodriguez	Miramax	6.4	34328	R	Comedy	4000000	Canada	25-Dec-95	14	0	Original Screenplay	Four Rooms	0	4301000	4301000
Contemporary Fiction	Alan Alda	Universal	7	1814		Comedy	6500000	United States	22-May-81	71	0	Original Screenplay	The Four Seasons	0	42488161	42488161
Contemporary Fiction	Mike Newell	Gramercy	7.1	39003	R	Romantic Comedy	4500000	United States	9-Mar-94	96	0	Original Screenplay	Four Weddings and a Funeral	0	52700832	242895809
		Truly Indie	7.4	439	Not Rated		350000		18-Oct-06	97	0		51 Birch Street	0	84689	84689
			6.8	2104		Drama	17000000		1963	57	0	Original Screenplay	55 Days at Peking	0	10000000	10000000
Contemporary Fiction	Adrian Lyne	MGM	5.4	12731		Drama	18000000		21-Feb-86	0	0	Based on Book/Short Story	Nine 1/2 Weeks	0	6734844	6734844
Fantasy		Alliance	4.9	5620	Not Rated	Adventure	113500000		4-Jul-08	0	0	Based on Comic/Graphic Novel	Astrix aux Jeux Olympiques	0	999811	132999811
Science Fiction	James Cameron	20th Century Fox	7.6	51018	PG-13	Action	70000000	United States	9-Aug-89	88	0	Original Screenplay	The Abyss	0	54243125	54243125
Contemporary Fiction		Lorimar Motion Pictures	4.6	3856		Action	7000000	United States	12-Feb-88	10	0	Original Screenplay	Action Jackson	0	20257000	20257000
Contemporary Fiction	Tom Shadyac	Warner Bros.	6.6	63543	PG-13	Comedy	12000000	United States	4-Feb-94	49	0	Original Screenplay	Ace Ventura: Pet Detective	0	72217396	107217396
Contemporary Fiction	Steve Oedekerk	Warner Bros.	5.6	51275	PG-13	Comedy	30000000	United States	10-Nov-95	0	0	Original Screenplay	Ace Ventura: When Nature Calls	0	108360063	212400000
Contemporary Fiction		Paramount Pictures	0	0		Horror	5000000		27-Mar-86	31	0	Original Screenplay	April Fool's Day	0	12947763	12947763
		Fox Searchlight	5.7	546	R	Romantic Comedy	4000000		26-Mar-99	0	0	Original Screenplay	Among Giants	0	64359	64359
		MGM	7.1	1326		Musical	3768785	United States	17-May-50	100	0	Based on Book/Short Story	Annie Get Your Gun	0	8000000	8000000
		RKO Radio Pictures	6.7	63458		Musical	3000000	United Kingdom	28-Jul-51	20	0	Based on Book/Short Story	Alice in Wonderland	0	0	0
Fantasy		Miramax	7.3	893	G	Adventure	24000000		25-Aug-95	0	0	Original Screenplay	The Princess and the Cobbler	0	669276	669276
Historical Fiction	John Wayne	United Artists	5.9	10063	PG-13	Western	12000000	United States	24-Oct-60	54	0	Original Screenplay	The Alamo	0	7900000	7900000
		20th Century Fox	0	0		Drama	2000000		1938	0	0	Original Screenplay	Alexander's Ragtime Band	0	4000000	4000000
Dramatization	Frank Marshall	Walt Disney Pictures	3.2	124	R	Adventure	32000000	United States	15-Jan-93	71	0	Based on Book/Short Story	Alive	0	36299670	36299670
	Costa-Gavras	Kino International	7.4	5416	Not Rated	Drama	14000000		24-Jan-03	0	0	Based on Play	Amen	0	274299	274299
	George Lucas	Universal	7.6	30952		Comedy	777000	United States	11-Aug-73	97	0	Original Screenplay	American Graffiti	0	115000000	140000000
	Sam Firstenberg		3.7	2495		Action	350000		1987	0	0	Original Screenplay	American Ninja 2: The Confrontation	0	4000000	4000000
Contemporary Fiction	Rob Reiner	Sony Pictures	6.8	22780	PG-13	Romantic Comedy	62000000	United States	17-Nov-95	90	0	Original Screenplay	The American President	0	60022813	107822813
	Woody Allen	MGM	8.2	65406		Comedy	4000000	United States	20-Apr-77	98	0	Original Screenplay	Annie Hall	0	38251425	38251425
		Sony Pictures	6.1	6266	Not Rated	Horror	2500000	Germany	8-Sep-00	0	0	Original Screenplay	Anatomie	0	9598	9598
Historical Fiction	Stephen Sommers	Walt Disney Pictures	5.8	3095	PG	Adventure	6500000	United States	2-Apr-93	62	0	Based on Book/Short Story	The Adventures of Huck Finn	0	24103594	24103594
	Billy Wilder	United Artists	8.4	36485		Romantic Comedy	3000000		1960	91	0	Original Screenplay	The Apartment	0	18600000	24600000
Historical Fiction	Francis Ford Coppola	MGM	8.6	173141	R	Action	31500000	France	15-Aug-79	98	0	Based on Book/Short Story	Apocalypse Now	3479242	78800000	78800000
Science Fiction	Frank Marshall	Walt Disney Pictures	6.2	20528		Thriller/Suspense	31000000	United States	18-Jul-90	85	0	Original Screenplay	Arachnophobia	0	53208180	53208180
Historical Fiction			6.4	6251	R	Action	16500000	Sweden	25-Dec-07	0	0	Based on Book/Short Story	Arn - Tempelriddaren	0	0	14900000
Contemporary Fiction		The Movie Partners	5.1	77	PG-13	Thriller/Suspense	600000	United States	19-Oct-07	0	0	Original Screenplay	Arnolds Park	0	23616	23616
			5.6	1769			150000		1-Jan-71	0	0		Sweet Sweetback's Baad Asssss Song	0	15200000	15200000
		Fox Meadow	4.4	200	Not Rated	Comedy	989000	United States	1-Jun-07	17	0		And Then Came Love	0	8158	8158
		United Artists	5.6	21516	PG	Adventure	6000000		17-Oct-56	73	0	Based on Book/Short Story	Around the World in 80 Days	0	42000000	42000000
Science Fiction		Paramount Pictures	5.7	10794		Adventure	9000000	United States	10-Oct-68	74	0	Based on Comic/Graphic Novel	Barbarella	0	0	0
	Stanley Kubrick	Warner Bros.	8.1	39909		Drama	11000000		1975	94	0	Based on Book/Short Story	Barry Lyndon	0	20000000	20000000
			5.4	236			4000000		March, 1987	0	0		Barbarians, The	0	800000	800000
Contemporary Fiction	Chris Noonan	Universal	7.3	35644	G	Adventure	30000000	United States	4-Aug-95	98	0	Based on Book/Short Story	Babe	0	63658910	246100000
Contemporary Fiction		Wingate Distribution	0	0	R	Romantic Comedy	2900000		24-Mar-06	0	104	Original Screenplay	Boynton Beach Club	0	3127472	3127472
Contemporary Fiction	Patrick Read Johnson	20th Century Fox	5	8332	PG	Comedy	50000000		1-Jul-94	21	0	Original Screenplay	Baby's Day Out	0	16581575	16581575
	Taylor Hackford	Walt Disney Pictures	7.7	10142			35000000	United States	16-Apr-93	0	0	Original Screenplay	Bound by Honor	0	4496583	4496583
Contemporary Fiction		Alliance	6.9	151	Not Rated	Comedy	8000000	Canada	4-Aug-06	67	0	Original Screenplay	Bon Cop, Bad Cop	0	12671300	12671300
Science Fiction	Robert Zemeckis	Universal	8.4	201598		Adventure	19000000	United States	3-Jul-85	96	0	Original Screenplay	Back to the Future	0	210609762	381109762
