IMDB Rating	IMDB Votes	Production Budget	Release Date	Rotten Tomatoes Rating	Running Time (min)	US DVD Sales	US Gross	Worldwide Gross
6.1	1071	8000000	12-Jun-98	0	0	0	146083	146083
6.9	207	300000	7-Aug-98	0	0	0	10876	10876
6.8	865	250000	28-Aug-98	0	0	0	203134	203134
0	0	300000	11-Sep-98	13	0	0	373615	373615
3.4	165	1000000	9-Oct-98	62	0	0	1009819	1087521
0	0	1600000	15-Jan-99	0	0	0	24551	2624551
7.7	15133	6000	4-Apr-99	0	0	0	44705	44705
3.8	353	1600000	9-Apr-99	0	0	0	6026908	6026908
5.8	3275	40000000	1-Jul-86	25	0	0	1641825	6341825
7	2906	6000000	31-Dec-46	86	0	0	20400000	20400000
7	4035	1000000	7-Oct-63	81	0	0	37600000	37600000
7.5	9111	10000000	11-Dec-68	84	0	0	37402877	37402877
8.4	82786	2000000	25-Dec-62	97	0	0	13129846	13129846
0	0	25000000	23-Sep-70	0	0	0	29548291	29548291
6.8	1532	100000	1-Mar-87	87	0	0	5228617	5228617
0	0	100000	17-Sep-20	0	0	0	3000000	3000000
7	451	5200000	1-Aug-44	0	0	0	2000000	2000000
6.1	858	22000000	1-Jan-70	0	0	0	5000000	5000000
2.5	1677	13500000	5-Oct-56	90	0	0	80000000	80000000
8.9	119101	340000	13-Apr-57	0	0	0	0	0
8.1	169858	29000000	27-Dec-95	0	0	0	57141459	168841459
7	4099	4000000	9-Nov-72	57	0	0	0	0
5.6	13364	32000000	14-Dec-79	33	0	0	34175000	94875000
6.3	365	1900000	29-Jun-07	0	0	0	18435	18435
8.4	160342	10500000	2-Apr-68	96	0	0	56700000	68700000
0	0	5000000	23-Dec-54	92	0	0	28200000	28200000
0	0	200000	24-Dec-16	0	0	0	8000000	8000000
6.9	1417	2000000	15-Apr-98	0	0	0	72544	72544
7.1	2810	500000	30-Jul-99	77	0	0	985341	1027228
0	0	20000000	3-Apr-08	0	0	0	0	22139590
5.7	16764	15000000	25-Nov-87	0	0	0	167780960	167780960
3.2	3107	20000000	6-May-94	17	0	0	11744960	11744960
