US State,Abbreviation,NumberOfRecords,latitude,longitude
Arizona,AZ,111,33.7712,-111.3877
California,CA,890,36.17,-119.7462
Colorado,CO,187,39.0646,-105.3272
DC,DC,475,38.8964,-77.0262
Florida,FL,246,27.8333,-81.717
Georgia,GA,211,32.9866,-83.6487
Hawaii,HI,352,21.1098,-157.5311
Illinois,IL,505,40.3363,-89.0022
Indiana,IN,144,39.8647,-86.2604
Kentucky,KY,535,37.669,-84.6514
Louisiana,LA,618,31.1801,-91.8749
Massachusetts,MA,146,42.2373,-71.5314
Maryland,MD,201,39.0724,-76.7902
Michigan,MI,74,43.3504,-84.5603
Minnesota,MN,103,45.7326,-93.9196
Missouri,MO,376,38.4623,-92.302
NorthCarolina,NC,269,35.6411,-79.8431
Nebraska,NE,118,41.1289,-98.2883
NewJersey,NJ,351,40.314,-74.5089
NewYork,NY,391,42.1497,-74.9384
Ohio,OH,210,40.3736,-82.7755
Oklahoma,OK,83,35.5376,-96.9247
Oregon,OR,245,44.5672,-122.1269
Pennsylvania,PA,514,40.5773,-77.264
SouthCarolina,SC,242,33.8191,-80.9066
Tennessee,TN,569,35.7449,-86.7489
Texas,TX,1495,31.106,-97.6475
Utah,UT,236,40.1135,-111.8535
Washington,WA,103,47.3917,-121.5708
